I|23.07.2009 15:00:40:015 |     |243   |(e8)|Telegram TURNON from ApId E3 to ApId 10 (9 objects) processed
T|23.07.2009 15:00:40:015 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:015 |     |240   |(e8)|Telegram ID 29202 received
I|23.07.2009 15:00:40:015 |     |243   |(94)|Telegram TURNON from ApId E4 to ApId F3 (8 objects) processed
I|23.07.2009 15:00:40:015 |     |243   |(e8)|Telegram TURNON from ApId E4 to ApId 10 (8 objects) processed
T|23.07.2009 15:00:40:015 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:015 |     |240   |(e8)|Telegram ID 29202 received
I|23.07.2009 15:00:40:015 |     |240   |(94)|iIdent DFR sent
I|23.07.2009 15:00:40:015 |     |243   |(94)|Telegram TURNON from ApId F0 to ApId 10 (0 objects) processed
I|23.07.2009 15:00:40:015 |     |240   |(e8)|iIdent Video sent
I|23.07.2009 15:00:40:015 |     |243   |(e8)|Telegram TURNON from ApId F0 to ApId 10 (0 objects) processed processed
T|23.07.2009 15:00:40:031 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:046 |     |240   |(e8)|Telegram ID 29202 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram TURNON from ApId 11 to ApId F3 (19 objects) processed
I|23.07.2009 15:00:40:046 |     |243   |(e8)|Telegram TURNON from ApId 11 to ApId 10 (19 objects) processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:046 |     |240   |(e8)|Telegram ID 29202 received
